a	ˈa
abarcantes	ˌɐbɐɾəkˈɐ̃ŋtɨʃ
abarcar	ˌɐbɐɾəkˈaɹ
abarcará	ˌɐbɐɾəkɐɾˈa
abarcá	ˌɐbɐɾəkˈa
abarcou	ˌɐbɐɾəkˈow
abarcarás	ˌɐbɐɾəkɐɾˈaʃ
abarcamentos	ˌɐbɐɾəkɐmˈeɪŋtʊʃ
abarcámos	ˌɐbɐɾəkˈamʊʃ
abarquemos	ˌɐbɐɾəkˈemʊʃ
abarcássemos	ˌɐbɐɾəkˈasɨmʊʃ
abarcaremos	ˌɐbɐɾəkɐɾˈemʊʃ
abarcaríamos	ˌɐbɐɾəkɐɾˈiɐ̃mʊʃ
abarcávamos	ˌɐbɐɾəkˈavɐmʊʃ
abarcáramos	ˌɐbɐɾəkˈaɾɐmʊʃ
abarcarmos	ˌɐbɐɾəkˈaɾəmʊʃ
abarcamos	ˌɐbɐɾəkˈɐ̃mʊʃ
abarcados	ˌɐbɐɾəkˈadʊʃ
abarcaríeis	ˌɐbɐɾəkɐɾˈieɪʃ
abarcáveis	ˌɐbɐɾəkˈaveɪʃ
abarqueis	ˌɐbɐɾəkˈeɪʃ
abarcásseis	ˌɐbɐɾəkˈaseɪʃ
abarcáreis	ˌɐbɐɾəkˈaɾeɪʃ
abarcareis	ˌɐbɐɾəkɐɾˈeɪʃ
abarcais	ˌɐbɐɾəkˈaɪʃ
abarques	ˌɐbˈaɾəkɨʃ
abarcastes	ˌɐbɐɾəkˈaʃtɨʃ
abarcantes	ˌɐbɐɾəkˈɐ̃ŋtɨʃ
abarcasses	ˌɐbɐɾəkˈasɨʃ
abarcadores	ˌɐbɐɾəkɐdˈoɾɨʃ
abarcardes	ˌɐbɐɾəkˈaɾədɨʃ
abarcares	ˌɐbɐɾəkˈaɾɨʃ
abarcavas	ˌɐbɐɾəkˈavɐʃ
abarcadoras	ˌɐbɐɾəkɐdˈoɾɐʃ
abarcarias	ˌɐbɐɾəkɐɾˈiɐʃ
abarcadas	ˌɐbɐɾəkˈadɐʃ
abarcaras	ˌɐbɐɾəkˈaɾɐʃ
abarcas	ˌɐbˈaɾəkɐʃ
abarcador	ˌɐbɐɾəkɐdˈoɹ
abarcarão	ˌɐbɐɾəkɐɾˈɐ̃ʊ̃
abarcamento	ˌɐbɐɾəkɐmˈeɪŋtʊ
abarcando	ˌɐbɐɾəkˈɐ̃ŋdʊ
abarcado	ˌɐbɐɾəkˈadʊ
abarco	ˌɐbˈaɾəkʊ
abarquem	ˌɐbˈaɾəkeɪŋ
abarcassem	ˌɐbɐɾəkˈaseɪŋ
abarcarem	ˌɐbɐɾəkˈaɾeɪŋ
abarcavam	ˌɐbɐɾəkˈavɐ̃ʊ̃
abarcariam	ˌɐbɐɾəkɐɾˈiɐ̃ʊ̃
abarcaram	ˌɐbɐɾəkˈaɾɐ̃ʊ̃
abarcam	ˌɐbˈaɾəkɐ̃ʊ̃
abarquei	ˌɐbɐɾəkˈeɪ
abarcarei	ˌɐbɐɾəkɐɾˈeɪ
abarcai	ˌɐbɐɾəkˈaɪ
abarque	ˌɐbˈaɾəkɨ
abarcaste	ˌɐbɐɾəkˈaʃtɨ
abarcante	ˌɐbɐɾəkˈɐ̃ŋtɨ
abarcasse	ˌɐbɐɾəkˈasɨ
abarcava	ˌɐbɐɾəkˈavɐ
abarcadora	ˌɐbɐɾəkɐdˈoɾɐ
abarcaria	ˌɐbɐɾəkɐɾˈiɐ
abarcada	ˌɐbɐɾəkˈadɐ
abarcara	ˌɐbɐɾəkˈaɾɐ
abarca	ˌɐbˈaɾəkɐ
abarrotar	ˌɐbɐʁutˈaɹ
abarrotará	ˌɐbɐʁˌutɐɾˈa
abarrotá	ˌɐbɐʁutˈa
abarrotou	ˌɐbɐʁutˈow
abarrotarás	ˌɐbɐʁˌutɐɾˈaʃ
abarrotamentos	ˌɐbɐʁˌutɐmˈeɪŋtʊʃ
abarrotámos	ˌɐbɐʁutˈamʊʃ
abarrotássemos	ˌɐbɐʁutˈasɨmʊʃ
abarrotaremos	ˌɐbɐʁˌutɐɾˈemʊʃ
abarrotemos	ˌɐbɐʁutˈemʊʃ
abarrotaríamos	ˌɐbɐʁˌutɐɾˈiɐ̃mʊʃ
abarrotávamos	ˌɐbɐʁutˈavɐmʊʃ
abarrotáramos	ˌɐbɐʁutˈaɾɐmʊʃ
abarrotarmos	ˌɐbɐʁutˈaɾəmʊʃ
abarrotamos	ˌɐbɐʁutˈɐ̃mʊʃ
abarrotados	ˌɐbɐʁutˈadʊʃ
abarrotaríeis	ˌɐbɐʁˌutɐɾˈieɪʃ
abarrotáveis	ˌɐbɐʁutˈaveɪʃ
abarrotásseis	ˌɐbɐʁutˈaseɪʃ
abarrotáreis	ˌɐbɐʁutˈaɾeɪʃ
abarrotareis	ˌɐbɐʁˌutɐɾˈeɪʃ
abarroteis	ˌɐbɐʁutˈeɪʃ
abarrotais	ˌɐbɐʁutˈaɪʃ
abarrotastes	ˌɐbɐʁutˈaʃtɨʃ
abarrotasses	ˌɐbɐʁutˈasɨʃ
abarrotardes	ˌɐbɐʁutˈaɾədɨʃ
abarrotares	ˌɐbɐʁutˈaɾɨʃ
abarrotes	ˌɐbɐʁˈotɨʃ
abarrotavas	ˌɐbɐʁutˈavɐʃ
abarrotarias	ˌɐbɐʁˌutɐɾˈiɐʃ
abarrotadas	ˌɐbɐʁutˈadɐʃ
abarrotaras	ˌɐbɐʁutˈaɾɐʃ
abarrotas	ˌɐbɐʁˈotɐʃ
abarrotarão	ˌɐbɐʁˌutɐɾˈɐ̃ʊ̃
abarrotamento	ˌɐbɐʁˌutɐmˈeɪŋtʊ
abarrotando	ˌɐbɐʁutˈɐ̃ŋdʊ
abarrotado	ˌɐbɐʁutˈadʊ
abarroto	ˌɐbɐʁˈɔtʊ
abarrotassem	ˌɐbɐʁutˈaseɪŋ
abarrotarem	ˌɐbɐʁutˈaɾeɪŋ
abarrotem	ˌɐbɐʁˈɔteɪŋ
abarrotavam	ˌɐbɐʁutˈavɐ̃ʊ̃
abarrotariam	ˌɐbɐʁˌutɐɾˈiɐ̃ʊ̃
abarrotaram	ˌɐbɐʁutˈaɾɐ̃ʊ̃
abarrotam	ˌɐbɐʁˈɔtɐ̃ʊ̃
abarrotarei	ˌɐbɐʁˌutɐɾˈeɪ
abarrotei	ˌɐbɐʁutˈeɪ
abarrotai	ˌɐbɐʁutˈaɪ
abarrotaste	ˌɐbɐʁutˈaʃtɨ
abarrotasse	ˌɐbɐʁutˈasɨ
abarrote	ˌɐbɐʁˈɔtɨ
abarrotava	ˌɐbɐʁutˈavɐ
abarrotaria	ˌɐbɐʁˌutɐɾˈiɐ
abarrotada	ˌɐbɐʁutˈadɐ
abarrotara	ˌɐbɐʁutˈaɾɐ
abarrota	ˌɐbɐʁˈɔtɐ
abastança	ˌɐbɐʃtˈɐ̃ŋsɐ
abastar	ˌɐbɐʃtˈaɹ
abastará	ˌɐbɐʃtɐɾˈa
abastá	ˌɐbɐʃtˈa
abastou	ˌɐbɐʃtˈow
abastarás	ˌɐbɐʃtɐɾˈaʃ
abastamentos	ˌɐbɐʃtɐmˈeɪŋtʊʃ
abastámos	ˌɐbɐʃtˈamʊʃ
abastássemos	ˌɐbɐʃtˈasɨmʊʃ
abastaremos	ˌɐbɐʃtɐɾˈemʊʃ
abastemos	ˌɐbɐʃtˈemʊʃ
abastaríamos	ˌɐbɐʃtɐɾˈiɐ̃mʊʃ
abastávamos	ˌɐbɐʃtˈavɐmʊʃ
abastáramos	ˌɐbɐʃtˈaɾɐmʊʃ
abastarmos	ˌɐbɐʃtˈaɾəmʊʃ
abastamos	ˌɐbɐʃtˈɐ̃mʊʃ
abastados	ˌɐbɐʃtˈadʊʃ
abastaríeis	ˌɐbɐʃtɐɾˈieɪʃ
abastáveis	ˌɐbɐʃtˈaveɪʃ
abastásseis	ˌɐbɐʃtˈaseɪʃ
abastáreis	ˌɐbɐʃtˈaɾeɪʃ
abastareis	ˌɐbɐʃtɐɾˈeɪʃ
abasteis	ˌɐbɐʃtˈeɪʃ
abastais	ˌɐbɐʃtˈaɪʃ
abastastes	ˌɐbɐʃtˈaʃtɨʃ
abastasses	ˌɐbɐʃtˈasɨʃ
abastardes	ˌɐbɐʃtˈaɾədɨʃ
abastares	ˌɐbɐʃtˈaɾɨʃ
abastes	ˌɐbˈaʃtɨʃ
abastavas	ˌɐbɐʃtˈavɐʃ
abastarias	ˌɐbɐʃtɐɾˈiɐʃ
abastadas	ˌɐbɐʃtˈadɐʃ
abastaras	ˌɐbɐʃtˈaɾɐʃ
abastas	ˌɐbˈaʃtɐʃ
abastarão	ˌɐbɐʃtɐɾˈɐ̃ʊ̃
abastamento	ˌɐbɐʃtɐmˈeɪŋtʊ
abastando	ˌɐbɐʃtˈɐ̃ŋdʊ
abastado	ˌɐbɐʃtˈadʊ
abasto	ˌɐbˈaʃtʊ
abastassem	ˌɐbɐʃtˈaseɪŋ
abastarem	ˌɐbɐʃtˈaɾeɪŋ
abastem	ˌɐbˈaʃteɪŋ
abastavam	ˌɐbɐʃtˈavɐ̃ʊ̃
abastariam	ˌɐbɐʃtɐɾˈiɐ̃ʊ̃
abastaram	ˌɐbɐʃtˈaɾɐ̃ʊ̃
abastam	ˌɐbˈaʃtɐ̃ʊ̃
abastarei	ˌɐbɐʃtɐɾˈeɪ
abastei	ˌɐbɐʃtˈeɪ
abastai	ˌɐbɐʃtˈaɪ
abastaste	ˌɐbɐʃtˈaʃtɨ
abastasse	ˌɐbɐʃtˈasɨ
abaste	ˌɐbˈaʃtɨ
abastava	ˌɐbɐʃtˈavɐ
abastaria	ˌɐbɐʃtɐɾˈiɐ
abastada	ˌɐbɐʃtˈadɐ
abastara	ˌɐbɐʃtˈaɾɐ
abasta	ˌɐbˈaʃtɐ
abastardar	ˌɐbɐʃtɐɾədˈaɹ
abastardará	ˌɐbɐʃtˌɐɾədɐɾˈa
abastardá	ˌɐbɐʃtɐɾədˈa
abastardou	ˌɐbɐʃtɐɾədˈow
abastardarás	ˌɐbɐʃtˌɐɾədɐɾˈaʃ
abastardamentos	ˌɐbɐʃtˌɐɾədɐmˈeɪŋtʊʃ
abastardámos	ˌɐbɐʃtɐɾədˈamʊʃ
abastardássemos	ˌɐbɐʃtɐɾədˈasɨmʊʃ
abastardaremos	ˌɐbɐʃtˌɐɾədɐɾˈemʊʃ
abastardemos	ˌɐbɐʃtɐɾədˈemʊʃ
abastardaríamos	ˌɐbɐʃtˌɐɾədɐɾˈiɐ̃mʊʃ
abastardávamos	ˌɐbɐʃtɐɾədˈavɐmʊʃ
abastardáramos	ˌɐbɐʃtɐɾədˈaɾɐmʊʃ
abastardarmos	ˌɐbɐʃtɐɾədˈaɾəmʊʃ
abastardamos	ˌɐbɐʃtɐɾədˈɐ̃mʊʃ
abastardados	ˌɐbɐʃtɐɾədˈadʊʃ
abastardaríeis	ˌɐbɐʃtˌɐɾədɐɾˈieɪʃ
abastardáveis	ˌɐbɐʃtɐɾədˈaveɪʃ
abastardásseis	ˌɐbɐʃtɐɾədˈaseɪʃ
abastardáreis	ˌɐbɐʃtɐɾədˈaɾeɪʃ
abastardareis	ˌɐbɐʃtˌɐɾədɐɾˈeɪʃ
abastardeis	ˌɐbɐʃtɐɾədˈeɪʃ
abastardais	ˌɐbɐʃtɐɾədˈaɪʃ
abastardastes	ˌɐbɐʃtɐɾədˈaʃtɨʃ
abastardasses	ˌɐbɐʃtɐɾədˈasɨʃ
abastardardes	ˌɐbɐʃtɐɾədˈaɾədɨʃ
abastardares	ˌɐbɐʃtɐɾədˈaɾɨʃ
abastardes	ˌɐbɐʃtˈaɾədɨʃ
abastardavas	ˌɐbɐʃtɐɾədˈavɐʃ
abastardarias	ˌɐbɐʃtˌɐɾədɐɾˈiɐʃ
abastardadas	ˌɐbɐʃtɐɾədˈadɐʃ
abastardaras	ˌɐbɐʃtɐɾədˈaɾɐʃ
abastardas	ˌɐbɐʃtˈaɾədɐʃ
abastardarão	ˌɐbɐʃtˌɐɾədɐɾˈɐ̃ʊ̃
abastardamento	ˌɐbɐʃtˌɐɾədɐmˈeɪŋtʊ
abastardando	ˌɐbɐʃtɐɾədˈɐ̃ŋdʊ
abastardado	ˌɐbɐʃtɐɾədˈadʊ
abastardo	ˌɐbɐʃtˈaɾədʊ
abastardassem	ˌɐbɐʃtɐɾədˈaseɪŋ
abastardarem	ˌɐbɐʃtɐɾədˈaɾeɪŋ
abastardem	ˌɐbɐʃtˈaɾədeɪŋ
abastardavam	ˌɐbɐʃtɐɾədˈavɐ̃ʊ̃
abastardariam	ˌɐbɐʃtˌɐɾədɐɾˈiɐ̃ʊ̃
abastardaram	ˌɐbɐʃtɐɾədˈaɾɐ̃ʊ̃
abastardam	ˌɐbɐʃtˈaɾədɐ̃ʊ̃
abastardarei	ˌɐbɐʃtˌɐɾədɐɾˈeɪ
abastardei	ˌɐbɐʃtɐɾədˈeɪ
abastardai	ˌɐbɐʃtɐɾədˈaɪ
abastardaste	ˌɐbɐʃtɐɾədˈaʃtɨ
abastardasse	ˌɐbɐʃtɐɾədˈasɨ
abastarde	ˌɐbɐʃtˈaɾədɨ
abastardava	ˌɐbɐʃtɐɾədˈavɐ
abastardaria	ˌɐbɐʃtˌɐɾədɐɾˈiɐ
abastardada	ˌɐbɐʃtɐɾədˈadɐ
abastardara	ˌɐbɐʃtɐɾədˈaɾɐ
abastarda	ˌɐbɐʃtˈaɾədɐ
abastecedouro	ˌɐbɐʃtˌesɨdˈowɾʊ
abastecedouros	ˌɐbɐʃtˌesɨdˈowɾʊʃ
abastecer	ˌɐbɐʃtɨsˈeɹ
abastecê	ˌɐbɐʃtɨsˈe
abastecerá	ˌɐbɐʃtˌesɨɾˈa
abasteceu	ˌɐbɐʃtɨsˈeʊ
abastecerás	ˌɐbɐʃtˌesɨɾˈaʃ
abastecimentos	ˌɐbɐʃtˌesimˈeɪŋtʊʃ
abastecêssemos	ˌɐbɐʃtɨsˈesɨmʊʃ
abasteceremos	ˌɐbɐʃtˌesɨɾˈemʊʃ
abasteceríamos	ˌɐbɐʃtˌesɨɾˈiɐ̃mʊʃ
abastecíamos	ˌɐbɐʃtɨsˈiɐ̃mʊʃ
abasteçamos	ˌɐbɐʃtɨsˈɐ̃mʊʃ
abastecêramos	ˌɐbɐʃtɨsˈeɾɐmʊʃ
abastecermos	ˌɐbɐʃtɨsˈeɾəmʊʃ
abastecemos	ˌɐbɐʃtɨsˈemʊʃ
abastecidos	ˌɐbɐʃtɨsˈidʊʃ
abasteceríeis	ˌɐbɐʃtˌesɨɾˈieɪʃ
abastecíeis	ˌɐbɐʃtɨsˈieɪʃ
abastecêsseis	ˌɐbɐʃtɨsˈeseɪʃ
abastecêreis	ˌɐbɐʃtɨsˈeɾeɪʃ
abastecereis	ˌɐbɐʃtˌesɨɾˈeɪʃ
abasteçais	ˌɐbɐʃtɨsˈaɪʃ
abasteceis	ˌɐbɐʃtɨsˈeɪʃ
abastecestes	ˌɐbɐʃtɨsˈeʃtɨʃ
abastecesses	ˌɐbɐʃtɨsˈesɨʃ
abastecedores	ˌɐbɐʃtˌesɨdˈoɾɨʃ
abastecerdes	ˌɐbɐʃtɨsˈeɾədɨʃ
abasteceres	ˌɐbɐʃtɨsˈeɾɨʃ
abasteças	ˌɐbɐʃtˈesɐʃ
abastecedoras	ˌɐbɐʃtˌesɨdˈoɾɐʃ
abastecerias	ˌɐbɐʃtˌesɨɾˈiɐʃ
abastecias	ˌɐbɐʃtɨsˈiɐʃ
abastecidas	ˌɐbɐʃtɨsˈidɐʃ
abasteceras	ˌɐbɐʃtɨsˈeɾɐʃ
abasteces	ˌɐbɐʃtˈesɨʃ
abastecedor	ˌɐbɐʃtˌesɨdˈoɹ
abasteço	ˌɐbɐʃtˈesʊ
abastecerão	ˌɐbɐʃtˌesɨɾˈɐ̃ʊ̃
abastecimento	ˌɐbɐʃtˌesimˈeɪŋtʊ
abastecendo	ˌɐbɐʃtɨsˈeɪŋdʊ
abastecido	ˌɐbɐʃtɨsˈidʊ
abastecessem	ˌɐbɐʃtɨsˈeseɪŋ
abastecerem	ˌɐbɐʃtɨsˈeɾeɪŋ
abasteçam	ˌɐbɐʃtˈesɐ̃ʊ̃
abasteceriam	ˌɐbɐʃtˌesɨɾˈiɐ̃ʊ̃
abasteciam	ˌɐbɐʃtɨsˈiɐ̃ʊ̃
abasteceram	ˌɐbɐʃtɨsˈeɾɐ̃ʊ̃
abastecem	ˌɐbɐʃtˈɛseɪŋ
abastecerei	ˌɐbɐʃtˌesɨɾˈeɪ
abasteci	ˌɐbɐʃtɨsˈi
abastecei	ˌɐbɐʃtɨsˈeɪ
abasteceste	ˌɐbɐʃtɨsˈeʃtɨ
abastecesse	ˌɐbɐʃtɨsˈesɨ
abastece	ˌɐbɐʃtˈɛsɨ
abasteça	ˌɐbɐʃtˈesɐ
abastecedora	ˌɐbɐʃtˌesɨdˈoɾɐ
abasteceria	ˌɐbɐʃtˌesɨɾˈiɐ
abastecia	ˌɐbɐʃtɨsˈiɐ
abastecida	ˌɐbɐʃtɨsˈidɐ
abastecera	ˌɐbɐʃtɨsˈeɾɐ
abastonar	ˌɐbɐʃtunˈaɹ
abastonará	ˌɐbɐʃtˌunɐɾˈa
abastoná	ˌɐbɐʃtunˈa
abastonou	ˌɐbɐʃtunˈow
abastonarás	ˌɐbɐʃtˌunɐɾˈaʃ
abastonámos	ˌɐbɐʃtunˈamʊʃ
abastonássemos	ˌɐbɐʃtunˈasɨmʊʃ
abastonaremos	ˌɐbɐʃtˌunɐɾˈemʊʃ
abastonemos	ˌɐbɐʃtunˈemʊʃ
abastonaríamos	ˌɐbɐʃtˌunɐɾˈiɐ̃mʊʃ
abastonávamos	ˌɐbɐʃtunˈavɐmʊʃ
abastonáramos	ˌɐbɐʃtunˈaɾɐmʊʃ
abastonarmos	ˌɐbɐʃtunˈaɾəmʊʃ
abastonamos	ˌɐbɐʃtunˈɐ̃mʊʃ
abastonados	ˌɐbɐʃtunˈadʊʃ
abastonaríeis	ˌɐbɐʃtˌunɐɾˈieɪʃ
abastonáveis	ˌɐbɐʃtunˈaveɪʃ
abastonásseis	ˌɐbɐʃtunˈaseɪʃ
abastonáreis	ˌɐbɐʃtunˈaɾeɪʃ
abastonareis	ˌɐbɐʃtˌunɐɾˈeɪʃ
abastoneis	ˌɐbɐʃtunˈeɪʃ
abastonais	ˌɐbɐʃtunˈaɪʃ
abastonastes	ˌɐbɐʃtunˈaʃtɨʃ
abastonasses	ˌɐbɐʃtunˈasɨʃ
abastonardes	ˌɐbɐʃtunˈaɾədɨʃ
abastonares	ˌɐbɐʃtunˈaɾɨʃ
abastones	ˌɐbɐʃtˈonɨʃ
abastonavas	ˌɐbɐʃtunˈavɐʃ
abastonarias	ˌɐbɐʃtˌunɐɾˈiɐʃ
abastonadas	ˌɐbɐʃtunˈadɐʃ
abastonaras	ˌɐbɐʃtunˈaɾɐʃ
abastonas	ˌɐbɐʃtˈonɐʃ
abastonarão	ˌɐbɐʃtˌunɐɾˈɐ̃ʊ̃
abastonando	ˌɐbɐʃtunˈɐ̃ŋdʊ
abastonado	ˌɐbɐʃtunˈadʊ
abastono	ˌɐbɐʃtˈonʊ
abastonassem	ˌɐbɐʃtunˈaseɪŋ
abastonarem	ˌɐbɐʃtunˈaɾeɪŋ
abastonem	ˌɐbɐʃtˈoneɪŋ
abastonavam	ˌɐbɐʃtunˈavɐ̃ʊ̃
abastonariam	ˌɐbɐʃtˌunɐɾˈiɐ̃ʊ̃
abastonaram	ˌɐbɐʃtunˈaɾɐ̃ʊ̃
abastonam	ˌɐbɐʃtˈonɐ̃ʊ̃
abastonarei	ˌɐbɐʃtˌunɐɾˈeɪ
abastonei	ˌɐbɐʃtunˈeɪ
abastonai	ˌɐbɐʃtunˈaɪ
abastonaste	ˌɐbɐʃtunˈaʃtɨ
abastonasse	ˌɐbɐʃtunˈasɨ
abastone	ˌɐbɐʃtˈonɨ
abastonava	ˌɐbɐʃtunˈavɐ
abastonaria	ˌɐbɐʃtˌunɐɾˈiɐ
abastonada	ˌɐbɐʃtunˈadɐ
abastonara	ˌɐbɐʃtunˈaɾɐ
abastona	ˌɐbɐʃtˈonɐ
abatatar	ˌɐbɐtɐtˈaɹ
abatatará	ˌɐbɐtˌɐtɐɾˈa
abatatá	ˌɐbɐtɐtˈa
abatatou	ˌɐbɐtɐtˈow
abatatarás	ˌɐbɐtˌɐtɐɾˈaʃ
abatatámos	ˌɐbɐtɐtˈamʊʃ
abatatássemos	ˌɐbɐtɐtˈasɨmʊʃ
abatataremos	ˌɐbɐtˌɐtɐɾˈemʊʃ
abatatemos	ˌɐbɐtɐtˈemʊʃ
abatataríamos	ˌɐbɐtˌɐtɐɾˈiɐ̃mʊʃ
abatatávamos	ˌɐbɐtɐtˈavɐmʊʃ
abatatáramos	ˌɐbɐtɐtˈaɾɐmʊʃ
abatatarmos	ˌɐbɐtɐtˈaɾəmʊʃ
abatatamos	ˌɐbɐtɐtˈɐ̃mʊʃ
abatatados	ˌɐbɐtɐtˈadʊʃ
abatataríeis	ˌɐbɐtˌɐtɐɾˈieɪʃ
abatatáveis	ˌɐbɐtɐtˈaveɪʃ
abatatásseis	ˌɐbɐtɐtˈaseɪʃ
abatatáreis	ˌɐbɐtɐtˈaɾeɪʃ
abatatareis	ˌɐbɐtˌɐtɐɾˈeɪʃ
abatateis	ˌɐbɐtɐtˈeɪʃ
abatatais	ˌɐbɐtɐtˈaɪʃ
abatatastes	ˌɐbɐtɐtˈaʃtɨʃ
abatatasses	ˌɐbɐtɐtˈasɨʃ
abatatardes	ˌɐbɐtɐtˈaɾədɨʃ
abatatares	ˌɐbɐtɐtˈaɾɨʃ
abatates	ˌɐbɐtˈatɨʃ
abatatavas	ˌɐbɐtɐtˈavɐʃ
abatatarias	ˌɐbɐtˌɐtɐɾˈiɐʃ
abatatadas	ˌɐbɐtɐtˈadɐʃ
abatataras	ˌɐbɐtɐtˈaɾɐʃ
abatatas	ˌɐbɐtˈatɐʃ
abatatarão	ˌɐbɐtˌɐtɐɾˈɐ̃ʊ̃
abatatando	ˌɐbɐtɐtˈɐ̃ŋdʊ
abatatado	ˌɐbɐtɐtˈadʊ
abatato	ˌɐbɐtˈatʊ
abatatassem	ˌɐbɐtɐtˈaseɪŋ
abatatarem	ˌɐbɐtɐtˈaɾeɪŋ
abatatem	ˌɐbɐtˈateɪŋ
abatatavam	ˌɐbɐtɐtˈavɐ̃ʊ̃
abatatariam	ˌɐbɐtˌɐtɐɾˈiɐ̃ʊ̃
abatataram	ˌɐbɐtɐtˈaɾɐ̃ʊ̃
abatatam	ˌɐbɐtˈatɐ̃ʊ̃
abatatarei	ˌɐbɐtˌɐtɐɾˈeɪ
abatatei	ˌɐbɐtɐtˈeɪ
abatatai	ˌɐbɐtɐtˈaɪ
abatataste	ˌɐbɐtɐtˈaʃtɨ
abatatasse	ˌɐbɐtɐtˈasɨ
abatate	ˌɐbɐtˈatɨ
abatatava	ˌɐbɐtɐtˈavɐ
abatataria	ˌɐbɐtˌɐtɐɾˈiɐ
abatatada	ˌɐbɐtɐtˈadɐ
abatatara	ˌɐbɐtɐtˈaɾɐ
abatata	ˌɐbɐtˈatɐ
abate	ˌɐbˈatɨ
abates	ˌɐbˈatɨʃ
abater	ˌɐbɐtˈeɹ
abatê	ˌɐbɐtˈe
abaterá	ˌɐbɐtɨɾˈa
abateu	ˌɐbɐtˈeʊ
abaterás	ˌɐbɐtɨɾˈaʃ
abatimentos	ˌɐbɐtimˈeɪŋtʊʃ
abatêssemos	ˌɐbɐtˈesɨmʊʃ
abateremos	ˌɐbɐtɨɾˈemʊʃ
abateríamos	ˌɐbɐtɨɾˈiɐ̃mʊʃ
abatíamos	ˌɐbɐtˈiɐ̃mʊʃ
abatêramos	ˌɐbɐtˈeɾɐmʊʃ
abatamos	ˌɐbɐtˈɐ̃mʊʃ
abatermos	ˌɐbɐtˈeɾəmʊʃ
abatemos	ˌɐbɐtˈemʊʃ
abatidos	ˌɐbɐtˈidʊʃ
abateríeis	ˌɐbɐtɨɾˈieɪʃ
abatíeis	ˌɐbɐtˈieɪʃ
abatêsseis	ˌɐbɐtˈeseɪʃ
abatêreis	ˌɐbɐtˈeɾeɪʃ
abatereis	ˌɐbɐtɨɾˈeɪʃ
abatais	ˌɐbɐtˈaɪʃ
abateis	ˌɐbɐtˈeɪʃ
abatestes	ˌɐbɐtˈeʃtɨʃ
abatesses	ˌɐbɐtˈesɨʃ
abatedores	ˌɐbɐtɨdˈoɾɨʃ
abaterdes	ˌɐbɐtˈeɾədɨʃ
abateres	ˌɐbɐtˈeɾɨʃ
abatedoras	ˌɐbɐtɨdˈoɾɐʃ
abaterias	ˌɐbɐtɨɾˈiɐʃ
abatias	ˌɐbɐtˈiɐʃ
abatidas	ˌɐbɐtˈidɐʃ
abateras	ˌɐbɐtˈeɾɐʃ
abatas	ˌɐbˈatɐʃ
abates	ˌɐbˈatɨʃ
abatedor	ˌɐbɐtɨdˈoɹ
abaterão	ˌɐbɐtɨɾˈɐ̃ʊ̃
abatimento	ˌɐbɐtimˈeɪŋtʊ
abatendo	ˌɐbɐtˈeɪŋdʊ
abatido	ˌɐbɐtˈidʊ
abato	ˌɐbˈatʊ
abatessem	ˌɐbɐtˈeseɪŋ
abaterem	ˌɐbɐtˈeɾeɪŋ
abateriam	ˌɐbɐtɨɾˈiɐ̃ʊ̃
abatiam	ˌɐbɐtˈiɐ̃ʊ̃
abateram	ˌɐbɐtˈeɾɐ̃ʊ̃
abatam	ˌɐbˈatɐ̃ʊ̃
abatem	ˌɐbˈateɪŋ
abaterei	ˌɐbɐtɨɾˈeɪ
abati	ˌɐbɐtˈi
abatei	ˌɐbɐtˈeɪ
abateste	ˌɐbɐtˈeʃtɨ
abatesse	ˌɐbɐtˈesɨ
abate	ˌɐbˈatɨ
abatedora	ˌɐbɐtɨdˈoɾɐ
abateria	ˌɐbɐtɨɾˈiɐ
abatia	ˌɐbɐtˈiɐ
abatida	ˌɐbɐtˈidɐ
abatera	ˌɐbɐtˈeɾɐ
abata	ˌɐbˈatɐ
abaúla	ˌɐbɐˈulɐ
abaulai	ˌɐbaʊlˈaɪ
abaulais	ˌɐbaʊlˈaɪʃ
abaúlam	ˌɐbɐˈulɐ̃ʊ̃
abaulamos	ˌɐbaʊlˈɐ̃mʊʃ
abaular	ˌɐbaʊlˈaɹ
abaulá	ˌɐbaʊlˈa
abaulará	ˌɐbaʊlɐɾˈa
abaulou	ˌɐbaʊlˈow
abaularás	ˌɐbaʊlɐɾˈaʃ
abaulamentos	ˌɐbaʊlɐmˈeɪŋtʊʃ
abaulámos	ˌɐbaʊlˈamʊʃ
abaulássemos	ˌɐbaʊlˈasɨmʊʃ
abaularemos	ˌɐbaʊlɐɾˈemʊʃ
abaularíamos	ˌɐbaʊlɐɾˈiɐ̃mʊʃ
abaulávamos	ˌɐbaʊlˈavɐmʊʃ
abauláramos	ˌɐbaʊlˈaɾɐmʊʃ
abaularmos	ˌɐbaʊlˈaɾəmʊʃ
abaulados	ˌɐbaʊlˈadʊʃ
abaularíeis	ˌɐbaʊlɐɾˈieɪʃ
abauláveis	ˌɐbaʊlˈaveɪʃ
abaulásseis	ˌɐbaʊlˈaseɪʃ
abauláreis	ˌɐbaʊlˈaɾeɪʃ
abaulareis	ˌɐbaʊlɐɾˈeɪʃ
abaulastes	ˌɐbaʊlˈaʃtɨʃ
abaulasses	ˌɐbaʊlˈasɨʃ
abaulardes	ˌɐbaʊlˈaɾədɨʃ
abaulares	ˌɐbaʊlˈaɾɨʃ
abaulavas	ˌɐbaʊlˈavɐʃ
abaularias	ˌɐbaʊlɐɾˈiɐʃ
