a	'a
abastecedouro	,&b&s#t,esyd'ow*U
abastecedouros	,&b&s#t,esyd'ow*Us#
abastecer	,&b&s#tys'er-
abastecê	,&b&s#tys'e
abastecerá	,&b&s#t,esy*'a
abasteceu	,&b&s#tys'eU
abastecerás	,&b&s#t,esy*'as#
abastecimentos	,&b&s#t,esim'eINtUs#
abastecêssemos	,&b&s#tys'esymUs#
abasteceremos	,&b&s#t,esy*'emUs#
abasteceríamos	,&b&s#t,esy*'i;&~mUs#
abastecíamos	,&b&s#tys'i;&~mUs#
abasteçamos	,&b&s#tys'&~mUs#
abastecêramos	,&b&s#tys'e*&mUs#
abastecermos	,&b&s#tys'e*@-mUs#
abastecemos	,&b&s#tys'emUs#
abastecidos	,&b&s#tys'idUs#
abasteceríeis	,&b&s#t,esy*'i;eIs#
abastecíeis	,&b&s#tys'i;eIs#
abastecêsseis	,&b&s#tys'eseIs#
abastecêreis	,&b&s#tys'e*eIs#
abastecereis	,&b&s#t,esy*'eIs#
abasteçais	,&b&s#tys'aIs#
abasteceis	,&b&s#tys'eIs#
abastecestes	,&b&s#tys'es#tys#
abastecesses	,&b&s#tys'esys#
abastecedores	,&b&s#t,esyd'o*ys#
abastecerdes	,&b&s#tys'e*@-dys#
abasteceres	,&b&s#tys'e*ys#
abasteças	,&b&s#t'es&s#
abastecedoras	,&b&s#t,esyd'o*&s#
abastecerias	,&b&s#t,esy*'i;&s#
abastecias	,&b&s#tys'i;&s#
abastecidas	,&b&s#tys'id&s#
abasteceras	,&b&s#tys'e*&s#
abasteces	,&b&s#t'esys#
abastecedor	,&b&s#t,esyd'or-
abasteço	,&b&s#t'esU
abastecerão	,&b&s#t,esy*'&U~
abastecimento	,&b&s#t,esim'eINtU
abastecendo	,&b&s#tys'eINdU
abastecido	,&b&s#tys'idU
abastecessem	,&b&s#tys'eseIN
abastecerem	,&b&s#tys'e*eIN
abasteçam	,&b&s#t'es&U~
abasteceriam	,&b&s#t,esy*'i;&U~
abasteciam	,&b&s#tys'i;&U~
abasteceram	,&b&s#tys'e*&U~
abastecem	,&b&s#t'EseIN
abastecerei	,&b&s#t,esy*'eI
abasteci	,&b&s#tys'i
abastecei	,&b&s#tys'eI
abasteceste	,&b&s#tys'es#ty
abastecesse	,&b&s#tys'esy
abastece	,&b&s#t'Esy
abasteça	,&b&s#t'es&
abastecedora	,&b&s#t,esyd'o*&
abasteceria	,&b&s#t,esy*'i;&
abastecia	,&b&s#tys'i;&
abastecida	,&b&s#tys'id&
abastecera	,&b&s#tys'e*&
abastonar	,&b&s#tun'ar-
abastonará	,&b&s#t,un&*'a
abastoná	,&b&s#tun'a
abastonou	,&b&s#tun'ow
abastonarás	,&b&s#t,un&*'as#
abastonámos	,&b&s#tun'amUs#
abastonássemos	,&b&s#tun'asymUs#
abastonaremos	,&b&s#t,un&*'emUs#
abastonemos	,&b&s#tun'emUs#
abastonaríamos	,&b&s#t,un&*'i;&~mUs#
abastonávamos	,&b&s#tun'av&mUs#
abastonáramos	,&b&s#tun'a*&mUs#
abastonarmos	,&b&s#tun'a*@-mUs#
abastonamos	,&b&s#tun'&~mUs#
abastonados	,&b&s#tun'adUs#
abastonaríeis	,&b&s#t,un&*'i;eIs#
abastonáveis	,&b&s#tun'aveIs#
abastonásseis	,&b&s#tun'aseIs#
abastonáreis	,&b&s#tun'a*eIs#
abastonareis	,&b&s#t,un&*'eIs#
abastoneis	,&b&s#tun'eIs#
abastonais	,&b&s#tun'aIs#
abastonastes	,&b&s#tun'as#tys#
abastonasses	,&b&s#tun'asys#
abastonardes	,&b&s#tun'a*@-dys#
abastonares	,&b&s#tun'a*ys#
abastones	,&b&s#t'onys#
abastonavas	,&b&s#tun'av&s#
abastonarias	,&b&s#t,un&*'i;&s#
abastonadas	,&b&s#tun'ad&s#
abastonaras	,&b&s#tun'a*&s#
abastonas	,&b&s#t'on&s#
abastonarão	,&b&s#t,un&*'&U~
abastonando	,&b&s#tun'&~NdU
abastonado	,&b&s#tun'adU
abastono	,&b&s#t'onU
abastonassem	,&b&s#tun'aseIN
abastonarem	,&b&s#tun'a*eIN
abastonem	,&b&s#t'oneIN
abastonavam	,&b&s#tun'av&U~
abastonariam	,&b&s#t,un&*'i;&U~
abastonaram	,&b&s#tun'a*&U~
abastonam	,&b&s#t'on&U~
abastonarei	,&b&s#t,un&*'eI
abastonei	,&b&s#tun'eI
abastonai	,&b&s#tun'aI
abastonaste	,&b&s#tun'as#ty
abastonasse	,&b&s#tun'asy
abastone	,&b&s#t'ony
abastonava	,&b&s#tun'av&
abastonaria	,&b&s#t,un&*'i;&
abastonada	,&b&s#tun'ad&
abastonara	,&b&s#tun'a*&
abastona	,&b&s#t'on&
abatatar	,&b&t&t'ar-
abatatará	,&b&t,&t&*'a
abatatá	,&b&t&t'a
abatatou	,&b&t&t'ow
abatatarás	,&b&t,&t&*'as#
abatatámos	,&b&t&t'amUs#
abatatássemos	,&b&t&t'asymUs#
abatataremos	,&b&t,&t&*'emUs#
abatatemos	,&b&t&t'emUs#
abatataríamos	,&b&t,&t&*'i;&~mUs#
abatatávamos	,&b&t&t'av&mUs#
abatatáramos	,&b&t&t'a*&mUs#
abatatarmos	,&b&t&t'a*@-mUs#
abatatamos	,&b&t&t'&~mUs#
abatatados	,&b&t&t'adUs#
abatataríeis	,&b&t,&t&*'i;eIs#
abatatáveis	,&b&t&t'aveIs#
abatatásseis	,&b&t&t'aseIs#
abatatáreis	,&b&t&t'a*eIs#
abatatareis	,&b&t,&t&*'eIs#
abatateis	,&b&t&t'eIs#
abatatais	,&b&t&t'aIs#
abatatastes	,&b&t&t'as#tys#
abatatasses	,&b&t&t'asys#
abatatardes	,&b&t&t'a*@-dys#
abatatares	,&b&t&t'a*ys#
abatates	,&b&t'atys#
abatatavas	,&b&t&t'av&s#
abatatarias	,&b&t,&t&*'i;&s#
abatatadas	,&b&t&t'ad&s#
abatataras	,&b&t&t'a*&s#
abatatas	,&b&t'at&s#
abatatarão	,&b&t,&t&*'&U~
abatatando	,&b&t&t'&~NdU
abatatado	,&b&t&t'adU
abatato	,&b&t'atU
abatatassem	,&b&t&t'aseIN
abatatarem	,&b&t&t'a*eIN
abatatem	,&b&t'ateIN
abatatavam	,&b&t&t'av&U~
abatatariam	,&b&t,&t&*'i;&U~
abatataram	,&b&t&t'a*&U~
abatatam	,&b&t'at&U~
abatatarei	,&b&t,&t&*'eI
abatatei	,&b&t&t'eI
abatatai	,&b&t&t'aI
abatataste	,&b&t&t'as#ty
abatatasse	,&b&t&t'asy
abatate	,&b&t'aty
abatatava	,&b&t&t'av&
abatataria	,&b&t,&t&*'i;&
abatatada	,&b&t&t'ad&
abatatara	,&b&t&t'a*&
abatata	,&b&t'at&
abate	,&b'aty
abates	,&b'atys#
abater	,&b&t'er-
abatê	,&b&t'e
abaterá	,&b&ty*'a
abateu	,&b&t'eU
abaterás	,&b&ty*'as#
abatimentos	,&b&tim'eINtUs#
abatêssemos	,&b&t'esymUs#
abateremos	,&b&ty*'emUs#
abateríamos	,&b&ty*'i;&~mUs#
abatíamos	,&b&t'i;&~mUs#
abatêramos	,&b&t'e*&mUs#
abatamos	,&b&t'&~mUs#
abatermos	,&b&t'e*@-mUs#
abatemos	,&b&t'emUs#
abatidos	,&b&t'idUs#
abateríeis	,&b&ty*'i;eIs#
abatíeis	,&b&t'i;eIs#
abatêsseis	,&b&t'eseIs#
abatêreis	,&b&t'e*eIs#
abatereis	,&b&ty*'eIs#
abatais	,&b&t'aIs#
abateis	,&b&t'eIs#
abatestes	,&b&t'es#tys#
abatesses	,&b&t'esys#
abatedores	,&b&tyd'o*ys#
abaterdes	,&b&t'e*@-dys#
abateres	,&b&t'e*ys#
abatedoras	,&b&tyd'o*&s#
abaterias	,&b&ty*'i;&s#
abatias	,&b&t'i;&s#
abatidas	,&b&t'id&s#
abateras	,&b&t'e*&s#
abatas	,&b'at&s#
abates	,&b'atys#
abatedor	,&b&tyd'or-
abaterão	,&b&ty*'&U~
abatimento	,&b&tim'eINtU
abatendo	,&b&t'eINdU
abatido	,&b&t'idU
abato	,&b'atU
abatessem	,&b&t'eseIN
abaterem	,&b&t'e*eIN
abateriam	,&b&ty*'i;&U~
abatiam	,&b&t'i;&U~
abateram	,&b&t'e*&U~
abatam	,&b'at&U~
abatem	,&b'ateIN
abaterei	,&b&ty*'eI
abati	,&b&t'i
abatei	,&b&t'eI
abateste	,&b&t'es#ty
abatesse	,&b&t'esy
abate	,&b'aty
abatedora	,&b&tyd'o*&
abateria	,&b&ty*'i;&
abatia	,&b&t'i;&
abatida	,&b&t'id&
abatera	,&b&t'e*&
abata	,&b'at&
abaúla	,&b&'ul&
abaulai	,&baUl'aI
abaulais	,&baUl'aIs#
abaúlam	,&b&'ul&U~
abaulamos	,&baUl'&~mUs#
abaular	,&baUl'ar-
abaulá	,&baUl'a
abaulará	,&baUl&*'a
abaulou	,&baUl'ow
abaularás	,&baUl&*'as#
abaulamentos	,&baUl&m'eINtUs#
abaulámos	,&baUl'amUs#
abaulássemos	,&baUl'asymUs#
abaularemos	,&baUl&*'emUs#
abaularíamos	,&baUl&*'i;&~mUs#
abaulávamos	,&baUl'av&mUs#
abauláramos	,&baUl'a*&mUs#
abaularmos	,&baUl'a*@-mUs#
abaulados	,&baUl'adUs#
abaularíeis	,&baUl&*'i;eIs#
abauláveis	,&baUl'aveIs#
abaulásseis	,&baUl'aseIs#
abauláreis	,&baUl'a*eIs#
abaulareis	,&baUl&*'eIs#
abaulastes	,&baUl'as#tys#
abaulasses	,&baUl'asys#
abaulardes	,&baUl'a*@-dys#
abaulares	,&baUl'a*ys#
abaulavas	,&baUl'av&s#
abaularias	,&baUl&*'i;&s#
abauladas	,&baUl'ad&s#
abaularas	,&baUl'a*&s#
abaularão	,&baUl&*'&U~
abaulamento	,&baUl&m'eINtU
abaulando	,&baUl'&~NdU
abaulado	,&baUl'adU
abaulassem	,&baUl'aseIN
abaularem	,&baUl'a*eIN
abaulavam	,&baUl'av&U~
abaulariam	,&baUl&*'i;&U~
abaularam	,&baUl'a*&U~
abaularei	,&baUl&*'eI
abaulei	,&baUl'eI
abaulaste	,&baUl'as#ty
abaulasse	,&baUl'asy
abaulava	,&baUl'av&
abaularia	,&baUl&*'i;&
abaulada	,&baUl'ad&
abaulara	,&baUl'a*&
abaúlas	,&b&'ul&s#
abaúle	,&b&'uly
abauleis	,&baUl'eIs#
abaúlem	,&b&'uleIN
abaulemos	,&baUl'emUs#
abaúles	,&b&'ulys#
abaúlo	,&b&'ulU
ABC	,&b,es'e
abcesso	,&bs'EsU
abcessos	,&bs'esUs#
abcissa	,&bs'is&
abcissas	,&bs'is&s#
abdicante	,&bdik'&~Nty
abdicantes	,&bdik'&~Ntys#
abdicar	,&bdik'ar-
abdicará	,&bdik&*'a
abdicá	,&bdik'a
abdicou	,&bdik'ow
abdicarás	,&bdik&*'as#
abdicámos	,&bdik'amUs#
abdiquemos	,&bdik'emUs#
abdicássemos	,&bdik'asymUs#
abdicaremos	,&bdik&*'emUs#
abdicaríamos	,&bdik&*'i;&~mUs#
abdicávamos	,&bdik'av&mUs#
abdicáramos	,&bdik'a*&mUs#
abdicarmos	,&bdik'a*@-mUs#
abdicamos	,&bdik'&~mUs#
abdicados	,&bdik'adUs#
abdicaríeis	,&bdik&*'i;eIs#
abdicáveis	,&bdik'aveIs#
abdiqueis	,&bdik'eIs#
abdicásseis	,&bdik'aseIs#
abdicáreis	,&bdik'a*eIs#
abdicareis	,&bdik&*'eIs#
abdicais	,&bdik'aIs#
abdicações	,&bdik&s'o~js#
abdiques	,&bd'ikys#
abdicastes	,&bdik'as#tys#
abdicantes	,&bdik'&~Ntys#
abdicasses	,&bdik'asys#
abdicadores	,&bdik&d'o*ys#
abdicardes	,&bdik'a*@-dys#
abdicares	,&bdik'a*ys#
abdicavas	,&bdik'av&s#
abdicadoras	,&bdik&d'o*&s#
abdicarias	,&bdik&*'i;&s#
abdicadas	,&bdik'ad&s#
abdicaras	,&bdik'a*&s#
abdicas	,&bd'ik&s#
abdicador	,&bdik&d'or-
abdicação	,&bdik&s'&U~
abdicarão	,&bdik&*'&U~
abdicando	,&bdik'&~NdU
abdicado	,&bdik'adU
abdico	,&bd'ikU
abdiquem	,&bd'ikeIN
abdicassem	,&bdik'aseIN
abdicarem	,&bdik'a*eIN
abdicavam	,&bdik'av&U~
abdicariam	,&bdik&*'i;&U~
abdicaram	,&bdik'a*&U~
abdicam	,&bd'ik&U~
abdicável	,&bdik'av,El
abdiquei	,&bdik'eI
abdicarei	,&bdik&*'eI
abdicai	,&bdik'aI
abdique	,&bd'iky
abdicaste	,&bdik'as#ty
abdicante	,&bdik'&~Nty
abdicasse	,&bdik'asy
abdicava	,&bdik'av&
abdicadora	,&bdik&d'o*&
abdicaria	,&bdik&*'i;&
abdicada	,&bdik'ad&
abdicara	,&bdik'a*&
abdica	,&bd'ik&
abdicatário	,&bdik&t'a*jU
abdicativo	,&bdik&t'ivU
abdicativos	,&bdik&t'ivUs#
abdicatório	,&bdik&t'O*jU
abdómen	,&bd'OmeIN
abdómenes	,&bd'Omynys#
abdominal	,&bdumin'Al
abdominais	,&bdumin'aIs#
abdução	,&bdus'&U~
abduções	,&bdus'o~js#
abducente	,&bdus'eINty
abdutivo	,&bdut'ivU
abdutivas	,&bdut'iv&s#
abdutiva	,&bdut'iv&
abdutor	,&bdut'or-
abdutores	,&bdut'o*ys#
abdutoras	,&bdut'o*&s#
abdutora	,&bdut'o*&
abduzir	,&bduz'ir-
abduzirá	,&bduzi*'a
abduz	&bd'uS
abduziu	,&bduz'iU
abduzirás	,&bduzi*'as#
abduzíssemos	,&bduz'isymUs#
abduziremos	,&bduzi*'emUs#
abduziríamos	,&bduzi*'i;&~mUs#
abduzíamos	,&bduz'i;&~mUs#
abduzíramos	,&bduz'i*&mUs#
abduzamos	,&bduz'&~mUs#
abduzirmos	,&bduz'i*@-mUs#
abduzimos	,&bduz'imUs#
abduzidos	,&bduz'idUs#
abduziríeis	,&bduzi*'i;eIs#
abduzíeis	,&bduz'i;eIs#
abduzísseis	,&bduz'iseIs#
abduzíreis	,&bduz'i*eIs#
abduzireis	,&bduzi*'eIs#
abduzais	,&bduz'aIs#
abduzistes	,&bduz'is#tys#
abduzisses	,&bduz'isys#
abduzirdes	,&bduz'i*@-dys#
abduzes	,&bd'uzys#
abduzires	,&bduz'i*ys#
abduzirias	,&bduzi*'i;&s#
abduzidas	,&bduz'id&s#
abduzas	,&bd'uz&s#
abduziras	,&bduz'i*&s#
abduzias	,&bduz'i;&s#
abduzis	,&bduz'is#
abduzirão	,&bduzi*'&U~
abduzindo	,&bduz'iNdU
abduzido	,&bduz'idU
abduzo	,&bd'uzU
abduzissem	,&bduz'iseIN
abduzem	,&bd'uzeIN
abduzirem	,&bduz'i*eIN
abduziriam	,&bduzi*'i;&U~
abduzam	,&bd'uz&U~
abduziram	,&bduz'i*&U~
abduziam	,&bduz'i;&U~
abduzirei	,&bduzi*'eI
abduzi	,&bduz'i
abduziste	,&bduz'is#ty
abduzisse	,&bduz'isy
abduziria	,&bduzi*'i;&
abduzida	,&bduz'id&
abduza	,&bd'uz&
abduzira	,&bduz'i*&
abduzia	,&bduz'i;&
Abecassis	,&byk&s'is#
abecedário	,&bysyd'a*jU
abecedários	,&bysyd'a*iUs#
abeiçar	,&beIs'ar-
abeiçará	,&beIs&*'a
abeiçá	,&beIs'a
abeiçou	,&beIs'ow
abeiçarás	,&beIs&*'as#
abeiçámos	,&beIs'amUs#
abeiçássemos	,&beIs'asymUs#
abeicemos	,&beIs'emUs#
abeiçaremos	,&beIs&*'emUs#
abeiçaríamos	,&beIs&*'i;&~mUs#
abeiçávamos	,&beIs'av&mUs#
abeiçáramos	,&beIs'a*&mUs#
abeiçarmos	,&beIs'a*@-mUs#
abeiçamos	,&beIs'&~mUs#
abeiçados	,&beIs'adUs#
abeiçaríeis	,&beIs&*'i;eIs#
abeiçáveis	,&beIs'aveIs#
abeiçásseis	,&beIs'aseIs#
abeiçáreis	,&beIs'a*eIs#
abeiceis	,&beIs'eIs#
abeiçareis	,&beIs&*'eIs#
abeiçais	,&beIs'aIs#
abeiçastes	,&beIs'as#tys#
abeiçasses	,&beIs'asys#
abeiçardes	,&beIs'a*@-dys#
abeices	,&b'eIsys#
abeiçares	,&beIs'a*ys#
abeiçavas	,&beIs'av&s#
abeiçarias	,&beIs&*'i;&s#
abeiçadas	,&beIs'ad&s#
abeiçaras	,&beIs'a*&s#
abeiças	,&b'eIs&s#
abeiçarão	,&beIs&*'&U~
abeiçando	,&beIs'&~NdU
abeiçado	,&beIs'adU
abeiço	,&b'eIsU
abeiçassem	,&beIs'aseIN
abeicem	,&b'eIseIN
abeiçarem	,&beIs'a*eIN
abeiçavam	,&beIs'av&U~
abeiçariam	,&beIs&*'i;&U~
abeiçaram	,&beIs'a*&U~
abeiçam	,&b'eIs&U~
abeicei	,&beIs'eI
abeiçarei	,&beIs&*'eI
abeiçai	,&beIs'aI
abeiçaste	,&beIs'as#ty
abeiçasse	,&beIs'asy
abeice	,&b'eIsy
abeiçava	,&beIs'av&
abeiçaria	,&beIs&*'i;&
abeiçada	,&beIs'ad&
abeiçara	,&beIs'a*&
abeiça	,&b'eIs&
abeirar	,&beI*'ar-
abeirará	,&beI*&*'a
abeirá	,&beI*'a
abeirou	,&beI*'ow
abeirarás	,&beI*&*'as#
abeiramentos	,&beI*&m'eINtUs#
abeirámos	,&beI*'amUs#
abeirássemos	,&beI*'asymUs#
abeiraremos	,&beI*&*'emUs#
abeiremos	,&beI*'emUs#
abeiraríamos	,&beI*&*'i;&~mUs#
abeirávamos	,&beI*'av&mUs#
abeiráramos	,&beI*'a*&mUs#
abeirarmos	,&beI*'a*@-mUs#
abeiramos	,&beI*'&~mUs#
abeirados	,&beI*'adUs#
abeiraríeis	,&beI*&*'i;eIs#
abeiráveis	,&beI*'aveIs#
abeirásseis	,&beI*'aseIs#
abeiráreis	,&beI*'a*eIs#
abeirareis	,&beI*&*'eIs#
abeireis	,&beI*'eIs#
abeirais	,&beI*'aIs#
abeirastes	,&beI*'as#tys#
abeirasses	,&beI*'asys#
abeirardes	,&beI*'a*@-dys#
abeirares	,&beI*'a*ys#
abeires	,&b'eI*ys#
abeiravas	,&beI*'av&s#
abeirarias	,&beI*&*'i;&s#
abeiradas	,&beI*'ad&s#
abeiraras	,&beI*'a*&s#
abeiras	,&b'eI*&s#
abeirarão	,&beI*&*'&U~
abeiramento	,&beI*&m'eINtU
abeirando	,&beI*'&~NdU
abeirado	,&beI*'adU
abeiro	,&b'eI*U
abeirassem	,&beI*'aseIN
abeirarem	,&beI*'a*eIN
abeirem	,&b'eI*eIN
abeiravam	,&beI*'av&U~
abeirariam	,&beI*&*'i;&U~
abeiraram	,&beI*'a*&U~
abeiram	,&b'eI*&U~
abeirarei	,&beI*&*'eI
abeirei	,&beI*'eI
abeirai	,&beI*'aI
abeiraste	,&beI*'as#ty
abeirasse	,&beI*'asy
abeire	,&b'eI*y
abeirava	,&beI*'av&
abeiraria	,&beI*&*'i;&
abeirada	,&beI*'ad&
abeirara	,&beI*'a*&
abeira	,&b'eI*&
Abel	&b'El
abelha	,&b'el^&
abelhas	,&b'el^&s#
abelhão	,&byl^'&U~
abelhões	,&byl^'o~js#
abelhudo	,&byl^'udU
abelhudas	,&byl^'ud&s#
abelhudos	,&byl^'udUs#
abelhuda	,&byl^'ud&
abeliano	,&byli;'&~nU
abelianas	,&byli;'&~n&s#
abelianos	,&byli;'&~nUs#
abeliana	,&byli;'&~n&
abencerragem	,&beINsyx'aZeIN
abencerragens	,&beINsyx'aZeINs#
abençoadeira	,&beINs,u&d'eI*&
abençoar	,&beINsu'ar-
abençoará	,&beINs,u&*'a
abençoá	,&beINsu'a
abençoou	,&beINsu'ow
abençoarás	,&beINs,u&*'as#
abençoámos	,&beINsu'amUs#
abençoássemos	,&beINsu'asymUs#
abençoaremos	,&beINs,u&*'emUs#
abençoemos	,&beINsu'emUs#
abençoaríamos	,&beINs,u&*'i;&~mUs#
abençoávamos	,&beINsu'av&mUs#
abençoáramos	,&beINsu'a*&mUs#
abençoarmos	,&beINsu'a*@-mUs#
abençoamos	,&beINsu'&~mUs#
abençoados	,&beINsu'adUs#
abençoaríeis	,&beINs,u&*'i;eIs#
abençoáveis	,&beINsu'aveIs#
abençoásseis	,&beINsu'aseIs#
abençoáreis	,&beINsu'a*eIs#
abençoareis	,&beINs,u&*'eIs#
abençoeis	,&beINsu'eIs#
abençoais	,&beINsu'aIs#
abençoastes	,&beINsu'as#tys#
abençoasses	,&beINsu'asys#
abençoadores	,&beINs,u&d'o*ys#
abençoardes	,&beINsu'a*@-dys#
abençoares	,&beINsu'a*ys#
abençoes	,&beINs'oys#
abençoavas	,&beINsu'av&s#
abençoadoras	,&beINs,u&d'o*&s#
abençoarias	,&beINs,u&*'i;&s#
abençoadas	,&beINsu'ad&s#
abençoaras	,&beINsu'a*&s#
abençoas	,&beINs'o&s#
abençoador	,&beINs,u&d'or-
abençoarão	,&beINs,u&*'&U~
abençoando	,&beINsu'&~NdU
abençoado	,&beINsu'adU
abençoo	,&beINs'ow
abençoassem	,&beINsu'aseIN
abençoarem	,&beINsu'a*eIN
abençoem	,&beINs'oeIN
abençoavam	,&beINsu'av&U~
abençoariam	,&beINs,u&*'i;&U~
abençoaram	,&beINsu'a*&U~
abençoam	,&beINs'o&U~
abençoarei	,&beINs,u&*'eI
abençoei	,&beINsu'eI
abençoai	,&beINsu'aI
abençoaste	,&beINsu'as#ty
abençoasse	,&beINsu'asy
abençoe	,&beINs'oy
abençoava	,&beINsu'av&
abençoadora	,&beINs,u&d'o*&
abençoaria	,&beINs,u&*'i;&
abençoada	,&beINsu'ad&
abençoara	,&beINsu'a*&
abençoa	,&beINs'o&
aberração	,&byx&s'&U~
aberrações	,&byx&s'o~js#
aberrante	,&byx'&~Nty
aberrantes	,&byx'&~Ntys#
aberrantemente	,&byx,&~Ntym'eINty
aberrar	,&byx'ar-
aberrará	,&byx&*'a
aberrá	,&byx'a
aberrou	,&byx'ow
aberrarás	,&byx&*'as#
aberrámos	,&byx'amUs#
aberrássemos	,&byx'asymUs#
aberraremos	,&byx&*'emUs#
aberremos	,&byx'emUs#
aberraríamos	,&byx&*'i;&~mUs#
aberrávamos	,&byx'av&mUs#
aberráramos	,&byx'a*&mUs#
aberrarmos	,&byx'a*@-mUs#
aberramos	,&byx'&~mUs#
aberrados	,&byx'adUs#
aberraríeis	,&byx&*'i;eIs#
aberráveis	,&byx'aveIs#
aberrásseis	,&byx'aseIs#
aberráreis	,&byx'a*eIs#
aberrareis	,&byx&*'eIs#
aberreis	,&byx'eIs#
aberrais	,&byx'aIs#
aberrações	,&byx&s'o~js#
aberrastes	,&byx'as#tys#
aberrantes	,&byx'&~Ntys#
aberrasses	,&byx'asys#
aberrardes	,&byx'a*@-dys#
aberrares	,&byx'a*ys#
aberres	,&b'exys#
aberravas	,&byx'av&s#
aberrarias	,&byx&*'i;&s#
aberradas	,&byx'ad&s#
aberraras	,&byx'a*&s#
aberras	,&b'ex&s#
aberração	,&byx&s'&U~
aberrarão	,&byx&*'&U~
aberrando	,&byx'&~NdU
aberrado	,&byx'adU
aberro	,&b'ExU
aberrassem	,&byx'aseIN
aberrarem	,&byx'a*eIN
aberrem	,&b'ExeIN
aberravam	,&byx'av&U~
aberrariam	,&byx&*'i;&U~
aberraram	,&byx'a*&U~
aberram	,&b'Ex&U~
aberrarei	,&byx&*'eI
aberrei	,&byx'eI
aberrai	,&byx'aI
aberraste	,&byx'as#ty
aberrante	,&byx'&~Nty
aberrasse	,&byx'asy
aberre	,&b'Exy
aberrava	,&byx'av&
aberraria	,&byx&*'i;&
aberrada	,&byx'ad&
aberrara	,&byx'a*&
aberra	,&b'Ex&
aberrativo	,&byx&t'ivU
aberta	,&b'E*@-t&
abertas	,&b'e*@-t&s#
abertivo	,&by*@-t'ivU
aberto	,&b'E*@-tU
reabertas	x,i;&b'e*@-t&s#
reabertos	x,i;&b'e*@-tUs#
reabertamente	x,i;&b,e*@-t&m'eINty
reaberta	x,i;&b'E*@-t&
reaberto	x,i;&b'E*@-tU
abertas	,&b'e*@-t&s#
abertos	,&b'e*@-tUs#
abertamente	,&by*@-t&m'eINty
aberta	,&b'E*@-t&
abertura	,&by*@-t'u*&
aberturas	,&by*@-t'u*&s#
abesoirar	,&byzoI*'ar-
abesoirará	,&byz,oI*&*'a
abesoirá	,&byzoI*'a
abesoirou	,&byzoI*'ow
abesoirarás	,&byz,oI*&*'as#
abesoirámos	,&byzoI*'amUs#
abesoirássemos	,&byzoI*'asymUs#
abesoiraremos	,&byz,oI*&*'emUs#
abesoiremos	,&byzoI*'emUs#
abesoiraríamos	,&byz,oI*&*'i;&~mUs#
abesoirávamos	,&byzoI*'av&mUs#
abesoiráramos	,&byzoI*'a*&mUs#
abesoirarmos	,&byzoI*'a*@-mUs#
abesoiramos	,&byzoI*'&~mUs#
abesoirados	,&byzoI*'adUs#
abesoiraríeis	,&byz,oI*&*'i;eIs#
abesoiráveis	,&byzoI*'aveIs#
abesoirásseis	,&byzoI*'aseIs#
abesoiráreis	,&byzoI*'a*eIs#
abesoirareis	,&byz,oI*&*'eIs#
abesoireis	,&byzoI*'eIs#
abesoirais	,&byzoI*'aIs#
abesoirastes	,&byzoI*'as#tys#
abesoirasses	,&byzoI*'asys#
abesoirardes	,&byzoI*'a*@-dys#
abesoirares	,&byzoI*'a*ys#
abesoires	,&byz'oI*ys#
abesoiravas	,&byzoI*'av&s#
abesoirarias	,&byz,oI*&*'i;&s#
abesoiradas	,&byzoI*'ad&s#
abesoiraras	,&byzoI*'a*&s#
abesoiras	,&byz'oI*&s#
abesoirarão	,&byz,oI*&*'&U~
abesoirando	,&byzoI*'&~NdU
abesoirado	,&byzoI*'adU
abesoiro	,&byz'oI*U
abesoirassem	,&byzoI*'aseIN
abesoirarem	,&byzoI*'a*eIN
abesoirem	,&byz'oI*eIN
abesoiravam	,&byzoI*'av&U~
abesoirariam	,&byz,oI*&*'i;&U~
abesoiraram	,&byzoI*'a*&U~
abesoiram	,&byz'oI*&U~
abesoirarei	,&byz,oI*&*'eI
abesoirei	,&byzoI*'eI
abesoirai	,&byzoI*'aI
abesoiraste	,&byzoI*'as#ty
abesoirasse	,&byzoI*'asy
abesoire	,&byz'oI*y
abesoirava	,&byzoI*'av&
abesoiraria	,&byz,oI*&*'i;&
abesoirada	,&byzoI*'ad&
abesoirara	,&byzoI*'a*&
abesoira	,&byz'oI*&
abesourar	,&byzuw*'ar-
abesourará	,&byz,uw*&*'a
abesourá	,&byzuw*'a
abesourou	,&byzuw*'ow
abesourarás	,&byz,uw*&*'as#
abesourámos	,&byzuw*'amUs#
abesourássemos	,&byzuw*'asymUs#
abesouraremos	,&byz,uw*&*'emUs#
abesouremos	,&byzuw*'emUs#
abesouraríamos	,&byz,uw*&*'i;&~mUs#
abesourávamos	,&byzuw*'av&mUs#
abesouráramos	,&byzuw*'a*&mUs#
abesourarmos	,&byzuw*'a*@-mUs#
abesouramos	,&byzuw*'&~mUs#
abesourados	,&byzuw*'adUs#
abesouraríeis	,&byz,uw*&*'i;eIs#
abesouráveis	,&byzuw*'aveIs#
abesourásseis	,&byzuw*'aseIs#
abesouráreis	,&byzuw*'a*eIs#
abesourareis	,&byz,uw*&*'eIs#
abesoureis	,&byzuw*'eIs#
abesourais	,&byzuw*'aIs#
abesourastes	,&byzuw*'as#tys#
abesourasses	,&byzuw*'asys#
abesourardes	,&byzuw*'a*@-dys#
abesourares	,&byzuw*'a*ys#
abesoures	,&byz'ow*ys#
abesouravas	,&byzuw*'av&s#
